p1,p2,p3,p4,p5,p6
bees,nectar,pollen,pollen sacs,flowers,stigma
SENTENCE,PHRASE,REFERENCE
Bees land on flowers to gather nectar.,bees,p1
Bees land on flowers to gather nectar.,nectar,p2
Little hairs on the bees legs attach to pollen sacs from the stamens of the flowers.,little hairs on the bees legs,p1
Little hairs on the bees legs attach to pollen sacs from the stamens of the flowers.,pollen sacs,"p3,p4"
Little hairs on the bees legs attach to pollen sacs from the stamens of the flowers.,from the stamens of the flowers,p5
Little hairs on the bees legs attach to pollen sacs from the stamens of the flowers.,the stamens of the flowers,p5
"When the bees fly away, the pollen goes with the bees.",the bees,p1
"When the bees fly away, the pollen goes with the bees.",away,
"When the bees fly away, the pollen goes with the bees.",when the bees fly away,p1
"When the bees fly away, the pollen goes with the bees.",the pollen,p3
"When the bees fly away, the pollen goes with the bees.",with the bees,p1
"When the bees fly away, the pollen goes with the bees.",the bees,p1
The bees land on other flowers.,the bees,p1
The bees land on other flowers.,on other flowers,p5
The bees land on other flowers.,other flowers,p5
The pollen sacs are rubbed off onto the stigma of the new flower.,the pollen sacs,"p3,p4"
The pollen sacs are rubbed off onto the stigma of the new flower.,onto the stigma of the new flower,"p5,p6"
The pollen sacs are rubbed off onto the stigma of the new flower.,the stigma of the new flower,"p5,p6"
